iter	Passed	Remaining
178	442	2031
179	444	2025
180	446	2020
181	447	2013
182	449	2007
183	451	2003
184	452	1995
185	454	1990
186	456	1982
187	458	1979
188	460	1975
189	462	1971
190	464	1965
191	465	1958
192	466	1952
193	468	1948
194	470	1942
195	472	1936
196	474	1932
197	475	1927
198	477	1922
199	479	1918
200	481	1913
201	483	1908
202	485	1906
203	487	1902
204	489	1899
205	491	1893
206	493	1890
207	495	1886
208	497	1881
209	499	1878
210	501	1875
211	502	1867
212	503	1861
213	506	1861
214	508	1857
215	509	1850
216	511	1845
217	512	1839
218	514	1835
219	515	1828
220	516	1821
221	518	1817
222	520	1812
223	522	1808
224	523	1802
225	525	1799
226	527	1794
227	528	1789
228	529	1783
229	531	1779
230	533	1775
231	534	1769
232	535	1763
233	536	1757
234	538	1754
235	540	1748
236	541	1743
237	543	1739
238	545	1735
239	547	1733
240	548	1728
241	550	1724
242	552	1720
243	553	1716
244	556	1714
245	557	1709
246	559	1704
247	560	1699
248	562	1695
249	563	1691
250	566	1689
251	568	1687
252	569	1682
253	571	1679
254	573	1676
255	575	1672
256	577	1670
257	579	1665
258	581	1662
259	582	1657
260	584	1654
261	586	1650
262	587	1645
263	589	1642
264	591	1639
265	592	1635
266	594	1632
267	595	1627
268	597	1623
269	598	1619
270	600	1615
271	602	1612
272	605	1611
273	606	1607
274	608	1604
275	610	1602
276	612	1598
277	614	1594
278	616	1592
279	618	1589
280	619	1584
281	621	1582
282	623	1580
283	626	1578
284	627	1573
285	628	1569
286	629	1564
287	632	1563
288	634	1560
289	636	1558
290	638	1554
291	639	1551
292	641	1548
293	643	1545
294	644	1541
295	646	1538
296	648	1534
297	649	1530
298	651	1527
299	652	1523
300	654	1519
301	656	1516
302	658	1514
303	659	1510
304	661	1507
305	662	1502
306	663	1498
307	666	1496
308	667	1493
309	669	1490
310	671	1486
311	672	1483
312	674	1480
313	676	1478
314	678	1475
315	680	1472
316	682	1470
317	684	1468
318	686	1464
319	687	1461
320	690	1459
321	692	1457
322	694	1455
323	696	1452
324	697	1449
325	699	1446
326	701	1443
327	702	1438
328	703	1435
329	705	1432
330	707	1430
331	710	1428
332	711	1425
333	713	1422
334	715	1419
335	717	1417
336	719	1415
337	721	1413
338	723	1410
339	725	1407
340	726	1404
341	728	1400
342	729	1397
343	730	1393
344	732	1390
345	733	1387
346	735	1383
347	736	1380
348	737	1376
349	739	1372
350	740	1369
351	742	1366
352	743	1362
353	744	1359
354	746	1356
355	748	1354
356	750	1352
357	752	1349
358	753	1345
359	755	1343
360	757	1340
361	758	1337
362	761	1335
363	762	1332
364	764	1330
365	766	1328
366	768	1325
367	770	1322
368	772	1320
369	773	1316
370	775	1314
371	776	1311
372	778	1308
373	779	1304
374	781	1301
375	782	1299
376	784	1297
377	787	1296
378	789	1293
379	791	1291
380	792	1287
381	794	1284
382	795	1280
383	797	1278
384	797	1274
385	799	1271
386	801	1269
387	803	1267
388	805	1264
389	806	1261
390	808	1259
391	810	1256
392	811	1253
393	813	1251
394	815	1249
395	816	1245
396	819	1244
397	819	1239
398	821	1237
399	823	1234
400	825	1233
401	827	1230
402	829	1228
403	831	1226
404	832	1223
405	834	1220
406	835	1217
407	837	1215
408	839	1213
409	841	1211
410	844	1209
411	845	1206
412	847	1204
413	849	1201
414	850	1198
415	852	1196
416	853	1193
417	855	1191
418	857	1189
419	860	1187
420	861	1184
421	863	1182
422	865	1180
423	866	1177
424	869	1175
425	870	1172
426	871	1169
427	873	1166
428	875	1165
429	877	1162
430	878	1159
431	880	1157
432	882	1155
433	884	1153
434	886	1150
435	887	1147
436	888	1145
437	890	1142
438	892	1140
439	893	1137
440	895	1135
441	897	1133
442	899	1130
443	900	1127
444	903	1126
445	905	1124
446	906	1121
447	907	1118
448	909	1115
449	910	1112
450	911	1109
451	914	1108
452	916	1106
453	918	1104
454	919	1101
455	921	1099
456	923	1096
457	924	1094
458	926	1092
459	928	1090
460	930	1088
461	931	1085
462	933	1082
463	935	1080
464	937	1078
465	938	1075
466	939	1072
467	941	1070
468	943	1068
469	945	1065
470	947	1063
471	948	1061
472	951	1060
473	953	1058
474	955	1055
475	956	1053
476	959	1051
477	960	1049
478	962	1047
479	964	1045
480	966	1043
481	968	1041
482	970	1039
483	972	1037
484	975	1035
485	979	1036
486	981	1034
487	982	1031
488	985	1029
489	987	1027
490	989	1025
491	991	1023
492	993	1021
493	995	1019
494	996	1016
495	998	1014
496	1000	1012
497	1002	1010
498	1004	1008
499	1005	1005
500	1007	1002
501	1009	1001
502	1010	998
503	1013	997
504	1014	994
505	1016	992
506	1018	990
507	1020	987
508	1021	985
509	1023	983
510	1025	981
511	1027	979
512	1029	976
513	1031	974
514	1032	972
515	1034	970
516	1036	968
517	1038	966
518	1040	964
519	1041	961
520	1043	958
521	1045	957
522	1047	955
523	1049	953
524	1051	951
525	1053	949
526	1054	946
527	1056	944
528	1058	942
529	1060	940
530	1062	938
531	1064	936
532	1066	934
533	1068	932
534	1070	930
535	1071	927
536	1073	925
537	1074	922
538	1076	920
539	1078	918
540	1079	915
541	1080	912
542	1081	910
543	1083	908
544	1085	906
545	1087	903
546	1088	901
547	1090	899
548	1091	896
549	1093	894
550	1095	892
551	1097	890
552	1099	889
553	1101	886
554	1103	884
555	1105	882
556	1106	880
557	1108	877
558	1110	875
559	1112	873
560	1114	871
561	1116	869
562	1117	867
563	1119	865
564	1120	862
565	1123	861
566	1124	858
567	1125	856
568	1128	854
569	1129	852
570	1132	850
571	1133	848
572	1135	846
573	1137	844
574	1139	841
575	1141	840
576	1143	838
577	1144	835
578	1146	833
579	1148	831
580	1151	830
581	1153	828
582	1155	826
583	1157	824
584	1159	822
585	1160	820
586	1162	817
587	1164	815
588	1166	813
589	1168	811
590	1170	809
591	1172	807
592	1173	805
593	1175	803
594	1177	801
595	1179	799
596	1181	797
597	1182	795
598	1184	792
599	1185	790
600	1187	788
601	1188	786
602	1190	783
603	1191	781
604	1193	779
605	1195	777
606	1196	774
607	1198	772
608	1200	770
609	1201	768
610	1203	766
611	1205	764
612	1207	762
613	1208	760
614	1210	758
615	1212	756
616	1214	753
617	1215	751
618	1217	749
619	1219	747
620	1222	746
621	1224	744
622	1226	742
623	1228	740
624	1230	738
625	1232	736
626	1235	734
627	1236	732
628	1238	730
629	1239	728
630	1241	726
631	1243	724
632	1245	722
633	1246	719
634	1249	717
635	1251	716
636	1253	714
637	1254	712
638	1256	709
639	1258	708
640	1260	706
641	1261	703
642	1263	701
643	1265	699
644	1267	697
645	1268	695
646	1270	693
647	1272	691
648	1274	689
649	1276	687
650	1277	684
651	1279	682
652	1280	680
653	1282	678
654	1284	676
655	1286	674
656	1288	672
657	1290	670
658	1292	668
659	1294	666
660	1296	665
661	1298	663
662	1300	661
663	1302	659
664	1303	656
665	1305	654
666	1307	652
667	1309	650
668	1310	648
669	1311	646
670	1314	644
671	1315	642
672	1317	639
673	1318	637
674	1320	635
675	1322	633
676	1323	631
677	1325	629
678	1327	627
679	1329	625
680	1330	623
681	1331	621
682	1333	619
683	1335	616
684	1336	614
685	1338	612
686	1341	611
687	1342	608
688	1344	606
689	1345	604
690	1347	602
691	1349	600
692	1350	598
693	1352	596
694	1353	594
695	1355	592
696	1357	590
697	1359	588
698	1362	586
699	1363	584
700	1365	582
701	1366	580
702	1368	578
703	1370	576
704	1371	573
705	1372	571
706	1375	569
707	1376	567
708	1379	566
709	1380	563
710	1382	561
711	1383	559
712	1386	558
713	1388	556
714	1389	553
715	1390	551
716	1392	549
717	1393	547
718	1395	545
719	1396	543
720	1398	541
721	1399	538
722	1401	536
723	1403	534
724	1404	532
725	1406	530
726	1408	528
727	1409	526
728	1412	525
729	1414	523
730	1415	520
731	1417	518
732	1418	516
733	1420	514
734	1422	512
735	1423	510
736	1425	508
737	1426	506
738	1427	504
739	1429	502
740	1430	500
741	1432	498
742	1435	496
743	1437	494
744	1438	492
745	1440	490
746	1441	488
747	1443	486
748	1445	484
749	1446	482
750	1448	480
751	1450	478
752	1451	476
753	1453	474
754	1455	472
755	1456	470
756	1459	468
757	1460	466
758	1462	464
759	1464	462
760	1465	460
761	1466	458
762	1468	456
763	1471	454
764	1472	452
765	1474	450
766	1476	448
767	1477	446
768	1479	444
769	1480	442
770	1482	440
771	1483	438
772	1484	436
773	1486	434
774	1488	432
775	1489	429
776	1491	428
777	1494	426
778	1495	424
779	1497	422
780	1498	420
781	1500	418
782	1502	416
783	1504	414
784	1506	412
785	1507	410
786	1509	408
787	1511	406
788	1512	404
789	1514	402
790	1516	400
791	1517	398
792	1519	396
793	1521	394
794	1523	392
795	1525	390
796	1526	388
797	1527	386
798	1529	384
799	1531	382
800	1534	381
801	1535	379
802	1537	377
803	1538	375
804	1540	373
805	1542	371
806	1544	369
807	1545	367
808	1547	365
809	1549	363
810	1551	361
811	1553	359
812	1556	357
813	1558	356
814	1560	354
815	1561	352
816	1563	350
817	1565	348
818	1567	346
819	1568	344
820	1570	342
821	1571	340
822	1573	338
823	1574	336
824	1576	334
825	1577	332
826	1579	330
827	1581	328
828	1582	326
829	1584	324
830	1585	322
831	1588	320
832	1590	318
833	1591	316
834	1593	314
835	1595	313
836	1597	311
837	1599	309
838	1600	307
839	1602	305
840	1603	303
841	1605	301
842	1607	299
843	1610	297
844	1612	295
845	1613	293
846	1614	291
847	1616	289
848	1618	287
849	1619	285
850	1622	284
851	1623	282
852	1625	280
853	1626	278
854	1629	276
855	1630	274
856	1632	272
857	1634	270
858	1635	268
859	1637	266
860	1638	264
861	1640	262
862	1641	260
863	1643	258
864	1644	256
865	1645	254
866	1647	252
867	1648	250
868	1651	248
869	1652	246
870	1654	244
871	1655	242
872	1656	241
873	1658	239
874	1659	237
875	1661	235
876	1663	233
877	1665	231
878	1667	229
879	1669	227
880	1671	225
881	1672	223
882	1673	221
883	1675	219
884	1676	217
885	1677	215
886	1679	213
887	1680	212
888	1682	210
889	1684	208
890	1685	206
891	1687	204
892	1688	202
893	1689	200
894	1690	198
895	1692	196
896	1693	194
897	1695	192
898	1696	190
899	1698	188
900	1699	186
901	1701	184
902	1702	182
903	1703	180
904	1705	179
905	1707	177
906	1708	175
907	1710	173
908	1711	171
909	1713	169
910	1714	167
911	1716	165
912	1717	163
913	1719	161
914	1720	159
915	1722	157
916	1723	156
917	1724	154
918	1726	152
919	1727	150
920	1728	148
921	1730	146
922	1731	144
923	1732	142
924	1734	140
925	1735	138
926	1736	136
927	1737	134
928	1739	132
929	1740	131
930	1742	129
931	1743	127
932	1745	125
933	1746	123
934	1749	121
935	1750	119
936	1752	117
937	1753	115
938	1754	114
939	1756	112
940	1757	110
941	1758	108
942	1759	106
943	1760	104
944	1762	102
945	1763	100
946	1765	98
947	1766	96
948	1767	95
949	1769	93
950	1771	91
951	1772	89
952	1774	87
953	1775	85
954	1776	83
955	1778	81
956	1779	79
957	1781	78
958	1782	76
959	1784	74
960	1786	72
961	1788	70
962	1789	68
963	1790	66
964	1791	64
965	1793	63
966	1794	61
967	1796	59
968	1798	57
969	1801	55
970	1802	53
971	1804	51
972	1805	50
973	1807	48
974	1808	46
975	1809	44
976	1810	42
977	1811	40
978	1812	38
979	1813	37
980	1814	35
981	1815	33
982	1816	31
983	1817	29
984	1818	27
985	1819	25
986	1820	23
987	1821	22
988	1822	20
989	1823	18
990	1824	16
991	1825	14
992	1827	12
993	1828	11
994	1829	9
995	1830	7
996	1831	5
997	1832	3
998	1833	1
999	1834	0
